"Start Time (UTC)","End Time (UTC)","Duration (min)","Min (km)","Max (km)","Conjunction Type","Conjunction Between"
"2022-03-05  15:30","2022-03-05  15:34","5","70","887","nbtrace","THEMIS-ASI MCGR and ELFIN-B"
"2022-03-05  15:30","2022-03-05  15:34","5","48","899","sbtrace","THEMIS-ASI MCGR and ELFIN-B"
"2022-03-05  15:30","2022-03-05  15:33","4","141","736","geographic","THEMIS-ASI MCGR and ELFIN-B"
"2022-03-05  11:50","2022-03-05  11:54","5","359","972","nbtrace","THEMIS-ASI PINA and ELFIN-A"
"2022-03-05  11:50","2022-03-05  11:53","4","396","790","sbtrace","THEMIS-ASI PINA and ELFIN-A"
"2022-03-05  11:50","2022-03-05  11:53","4","382","801","geographic","THEMIS-ASI PINA and ELFIN-A"
"2022-03-05  10:55","2022-03-05  10:58","4","529","952","nbtrace","THEMIS-ASI PINA and ELFIN-B"
"2022-03-05  10:55","2022-03-05  10:58","4","559","915","geographic","THEMIS-ASI PINA and ELFIN-B"
"2022-03-05  10:56","2022-03-05  10:58","3","633","757","sbtrace","THEMIS-ASI PINA and ELFIN-B"
"2022-03-05  10:15","2022-03-05  10:17","3","866","973","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2022-03-05  10:15","2022-03-05  10:16","2","891","958","geographic","THEMIS-ASI RANK and ELFIN-A"
"2022-03-05  10:52","2022-03-05  10:55","4","390","735","nbtrace","THEMIS-ASI RANK and ELFIN-B"
"2022-03-05  10:52","2022-03-05  10:55","4","402","761","geographic","THEMIS-ASI RANK and ELFIN-B"
"2022-03-05  10:53","2022-03-05  10:55","3","509","754","sbtrace","THEMIS-ASI RANK and ELFIN-B"
"2022-03-05  10:16","2022-03-05  10:19","4","219","706","nbtrace","THEMIS-ASI SNKQ and ELFIN-A"
"2022-03-05  10:16","2022-03-05  10:19","4","335","823","sbtrace","THEMIS-ASI SNKQ and ELFIN-A"
"2022-03-05  10:16","2022-03-05  10:19","4","277","682","geographic","THEMIS-ASI SNKQ and ELFIN-A"
"2022-03-05  09:22","2022-03-05  09:23","2","936","950","nbtrace","THEMIS-ASI SNKQ and ELFIN-B"
"2022-03-05  09:22","2022-03-05  09:22","1","961","961","geographic","THEMIS-ASI SNKQ and ELFIN-B"
"2022-03-05  10:13","2022-03-05  10:15","3","819","949","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2022-03-05  10:13","2022-03-05  10:15","3","838","956","geographic","THEMIS-ASI TALO and ELFIN-A"
"2022-03-05  10:50","2022-03-05  10:53","4","425","861","nbtrace","THEMIS-ASI TALO and ELFIN-B"
"2022-03-05  10:50","2022-03-05  10:53","4","447","856","geographic","THEMIS-ASI TALO and ELFIN-B"
"2022-03-05  10:53","2022-03-05  10:53","1","707","707","sbtrace","THEMIS-ASI TALO and ELFIN-B"
"2022-03-05  11:49","2022-03-05  11:53","5","53","844","nbtrace","THEMIS-ASI TPAS and ELFIN-A"
"2022-03-05  11:49","2022-03-05  11:53","5","72","851","sbtrace","THEMIS-ASI TPAS and ELFIN-A"
"2022-03-05  11:49","2022-03-05  11:53","5","91","944","geographic","THEMIS-ASI TPAS and ELFIN-A"
"2022-03-05  10:55","2022-03-05  10:57","3","867","984","nbtrace","THEMIS-ASI TPAS and ELFIN-B"
"2022-03-05  10:55","2022-03-05  10:56","2","890","933","geographic","THEMIS-ASI TPAS and ELFIN-B"
